location,price,sqfeet,age
A,113.5,2374,4
A,119.9,2271,8
A,127.9,2088,5
A,92.5,1645,8
A,103,1814,6
A,142.1,2553,7
A,120.5,1921,9
A,105.5,1854,2
A,101.2,1536,9
A,94.7,1677,3
A,129,2342,5
A,108.7,1862,4
A,99.7,1894,7
A,112,1774,9
A,104.8,1476,8
A,86.1,1466,7
A,103.5,1800,8
A,93,1491,5
A,99.5,1749,8
A,98.1,1690,7
A,144.8,2741,5
A,96.3,1460,5
A,95.1,1614,6
A,125.8,2244,6
A,126.9,2165,6
A,104.7,1828,4
B,74.2,1503,6
B,69.9,1689,6
B,77,1638,2
B,67,1276,6
B,98.9,2101,9
B,81.2,1668,5
B,85.7,2123,4
B,99.8,2208,5
B,55.7,1273,8
B,120.1,2519,4
B,109.1,2303,6
B,82.4,1800,3
B,102.7,2336,8
B,92,2100,6
B,84.1,1697,4
C,90.8,1674,4
C,98.2,2307,7
C,94.6,2152,5
C,87.9,1948,9
D,102.5,2258,2
D,81.3,1965,6
D,86.1,1772,3
D,94.7,2385,1
D,64.7,1345,4
D,93.5,2220,8
D,80.1,1883,8
D,92.3,2012,6
D,80.6,1898,5
E,105.3,2362,7
E,106.3,2362,7
E,84.3,1963,9
E,76.6,1941,7
E,82.4,1975,5
E,98.8,2529,6
E,86.8,2079,5
E,88.5,2190,4
E,77.5,1897,5
E,86.9,1946,4
