HusbQ1,HusbQ2,HusbQ3,HusbQ4,WifeQ1,WifeQ2,WifeQ3,WifeQ4,DiffQ1,DiffQ2,DiffQ3,DiffQ4,DiffQAvg,DiffComp,DiffPass,DiffFFP,DiffFFY
2,3,5,5,4,4,5,5,-2,-1,0,0,-0.75,-1.5,0,-1,-0.5
5,5,4,4,4,5,5,5,1,0,-1,-1,-0.25,0.5,-1,0,-0.5
4,5,5,5,4,4,5,5,0,1,0,0,0.25,0.5,0,0,0.5
4,3,4,4,4,5,5,5,0,-2,-1,-1,-1,-1,-1,-0.5,-1.5
3,3,5,5,4,4,5,5,-1,-1,0,0,-0.5,-1,0,-0.5,-0.5
3,3,4,5,3,3,4,4,0,0,0,1,0.25,0,0.5,0,0.5
3,4,4,4,4,3,5,4,-1,1,-1,0,-0.25,0,-0.5,-1,0.5
4,4,5,5,3,4,5,5,1,0,0,0,0.25,0.5,0,0.5,0
4,5,5,5,4,4,5,4,0,1,0,1,0.5,0.5,0.5,0,1
4,4,3,3,3,4,4,4,1,0,-1,-1,-0.25,0.5,-1,0,-0.5
4,4,5,5,4,5,5,5,0,-1,0,0,-0.25,-0.5,0,0,-0.5
5,5,4,4,5,5,5,5,0,0,-1,-1,-0.5,0,-1,-0.5,-0.5
4,4,4,4,4,4,5,5,0,0,-1,-1,-0.5,0,-1,-0.5,-0.5
4,3,5,5,4,4,4,4,0,-1,1,1,0.25,-0.5,1,0.5,0
4,4,5,5,4,4,5,5,0,0,0,0,0,0,0,0,0
3,3,4,5,3,4,4,4,0,-1,0,1,0,-0.5,0.5,0,0
4,5,4,4,5,5,5,5,-1,0,-1,-1,-0.75,-0.5,-1,-1,-0.5
5,5,5,5,4,5,4,4,1,0,1,1,0.75,0.5,1,1,0.5
5,5,4,4,3,4,4,4,2,1,0,0,0.75,1.5,0,1,0.5
4,4,4,4,5,3,4,4,-1,1,0,0,0,0,0,-0.5,0.5
4,4,4,4,5,3,4,4,-1,1,0,0,0,0,0,-0.5,0.5
4,4,4,4,4,5,4,4,0,-1,0,0,-0.25,-0.5,0,0,-0.5
3,4,5,5,2,5,5,5,1,-1,0,0,0,0,0,0.5,-0.5
5,3,5,5,3,4,5,5,2,-1,0,0,0.25,0.5,0,1,-0.5
5,5,3,3,4,3,5,5,1,2,-2,-2,-0.25,1.5,-2,-0.5,0
3,3,4,4,4,4,4,4,-1,-1,0,0,-0.5,-1,0,-0.5,-0.5
4,4,4,4,4,4,5,5,0,0,-1,-1,-0.5,0,-1,-0.5,-0.5
3,3,5,5,3,4,4,4,0,-1,1,1,0.25,-0.5,1,0.5,0
4,4,3,3,4,4,5,4,0,0,-2,-1,-0.75,0,-1.5,-1,-0.5
4,4,5,5,4,4,5,5,0,0,0,0,0,0,0,0,0
