"treatment";"dog";"rate"
"1";"HA";1;426
"2";"LA";1;609
"3";"HP";1;556
"4";"LP";1;600
"5";"HA";2;253
"6";"LA";2;236
"7";"HP";2;392
"8";"LP";2;395
"9";"HA";3;359
"10";"LA";3;433
"11";"HP";3;349
"12";"LP";3;357
"13";"HA";4;432
"14";"LA";4;431
"15";"HP";4;522
"16";"LP";4;600
"17";"HA";5;405
"18";"LA";5;426
"19";"HP";5;513
"20";"LP";5;513
"21";"HA";6;324
"22";"LA";6;438
"23";"HP";6;507
"24";"LP";6;539
"25";"HA";7;310
"26";"LA";7;312
"27";"HP";7;410
"28";"LP";7;456
"29";"HA";8;326
"30";"LA";8;326
"31";"HP";8;350
"32";"LP";8;504
"33";"HA";9;375
"34";"LA";9;447
"35";"HP";9;547
"36";"LP";9;548
"37";"HA";10;286
"38";"LA";10;286
"39";"HP";10;403
"40";"LP";10;422
"41";"HA";11;349
"42";"LA";11;382
"43";"HP";11;473
"44";"LP";11;497
"45";"HA";12;429
"46";"LA";12;410
"47";"HP";12;488
"48";"LP";12;547
"49";"HA";13;348
"50";"LA";13;377
"51";"HP";13;447
"52";"LP";13;514
"53";"HA";14;412
"54";"LA";14;473
"55";"HP";14;472
"56";"LP";14;446
"57";"HA";15;347
"58";"LA";15;326
"59";"HP";15;455
"60";"LP";15;468
"61";"HA";16;434
"62";"LA";16;458
"63";"HP";16;637
"64";"LP";16;524
"65";"HA";17;364
"66";"LA";17;367
"67";"HP";17;432
"68";"LP";17;469
"69";"HA";18;420
"70";"LA";18;395
"71";"HP";18;508
"72";"LP";18;531
"73";"HA";19;397
"74";"LA";19;556
"75";"HP";19;645
"76";"LP";19;625
